timestamp,cpu,memory,pods
2025-04-24T14:12:30.139,4000,34359738368000,110000
2025-04-24T14:12:32.282,2679,33495711744000,110000
2025-04-24T14:12:38.205,1891,33183236096000,110000
2025-04-24T14:12:39.134,767,32747028480000,110000
2025-04-24T14:12:40.361,2088,33611055104000,110000
2025-04-24T14:12:42.160,925,33084669952000,110000
2025-04-24T14:12:46.145,508,32754368512000,110000
2025-04-24T14:12:47.174,2,32354861056000,110000
2025-04-24T14:12:50.246,419,32685162496000,110000
2025-04-24T14:12:53.216,1543,33121370112000,110000
2025-04-24T14:12:56.168,505,32852934656000,110000
2025-04-24T14:13:06.452,112,32512147456000,110000
2025-04-24T14:13:10.205,1275,33038532608000,110000
2025-04-24T14:13:11.135,760,32321306624000,110000
2025-04-24T14:13:11.142,386,31975276544000,110000
2025-04-24T14:13:14.250,1424,32243712000000,110000
2025-04-24T14:13:14.269,105,32123125760000,110000
2025-04-24T14:13:18.314,893,32435601408000,110000
2025-04-24T14:13:24.197,1399,32835108864000,110000
2025-04-24T14:13:25.134,207,32049725440000,110000
2025-04-24T14:13:28.511,600,32390512640000,110000
2025-04-24T14:13:31.486,130,32119980032000,110000
2025-04-24T14:13:36.578,600,32390512640000,110000
2025-04-24T14:13:38.176,1792,33175896064000,110000
2025-04-24T14:13:38.500,981,32671531008000,110000
2025-04-24T14:13:40.325,2300,32792117248000,110000
2025-04-24T14:13:41.492,1011,32364298240000,110000
2025-04-24T14:13:42.194,1526,33081524224000,110000
2025-04-24T14:13:43.500,482,32292995072000,110000
2025-04-24T14:13:53.192,856,32639025152000,110000
2025-04-24T14:13:56.539,1667,33143390208000,110000
2025-04-24T14:13:57.545,2956,33571209216000,110000
2025-04-24T14:13:58.132,2145,33050066944000,110000
2025-04-24T14:14:00.132,1338,32577159168000,110000
2025-04-24T14:14:05.540,2382,33365688320000,110000
2025-04-24T14:14:08.133,1685,33137098752000,110000
2025-04-24T14:14:09.132,1095,32936820736000,110000
2025-04-24T14:14:17.149,64,32273072128000,110000
2025-04-24T14:14:24.187,871,32745979904000,110000
2025-04-24T14:14:30.134,448,32337035264000,110000
2025-04-24T14:14:30.144,31,31797018624000,110000
2025-04-24T14:14:31.176,728,32025608192000,110000
2025-04-24T14:14:35.178,1539,32546750464000,110000
2025-04-24T14:14:36.593,96,32028753920000,110000
2025-04-24T14:14:38.163,686,32229031936000,110000
2025-04-24T14:14:39.194,1717,32892780544000,110000
2025-04-24T14:14:39.601,1016,32449232896000,110000
2025-04-24T14:14:41.145,370,32329695232000,110000
2025-04-24T14:14:52.640,1813,32847691776000,110000
2025-04-24T14:14:52.658,627,32213303296000,110000
2025-04-24T14:14:57.187,249,31958499328000,110000
2025-04-24T14:14:57.198,22,31554797568000,110000
2025-04-24T14:14:58.194,445,31963742208000,110000
2025-04-24T14:15:01.193,862,32503758848000,110000
2025-04-24T14:15:04.637,166,31874613248000,110000
2025-04-24T14:15:12.641,867,32318160896000,110000
2025-04-24T14:15:13.138,304,31964790784000,110000
2025-04-24T14:15:13.683,1000,32593936384000,110000
2025-04-24T14:15:14.288,1378,32848740352000,110000
2025-04-24T14:15:14.641,156,32752271360000,110000
2025-04-24T14:15:20.724,1342,33386659840000,110000
2025-04-24T14:15:21.666,733,33165410304000,110000
2025-04-24T14:15:23.174,1296,33518780416000,110000
2025-04-24T14:15:23.667,542,33355202560000,110000
2025-04-24T14:15:24.132,172,33035386880000,110000
2025-04-24T14:15:27.695,1394,33131855872000,110000
2025-04-24T14:15:30.290,1621,33535557632000,110000
2025-04-24T14:15:32.678,656,33164361728000,110000
2025-04-24T14:15:37.124,26,32698793984000,110000
2025-04-24T14:15:45.735,991,33069989888000,110000
2025-04-24T14:15:48.709,353,32505856000000,110000
2025-04-24T14:15:51.182,999,32625393664000,110000
2025-04-24T14:15:53.174,1369,32945209344000,110000
2025-04-24T14:15:53.758,2007,33509343232000,110000
2025-04-24T14:15:54.124,1214,32931577856000,110000
2025-04-24T14:15:55.717,1968,33095155712000,110000
2025-04-24T14:15:56.126,383,32387366912000,110000
2025-04-24T14:15:59.714,992,32608616448000,110000
2025-04-24T14:15:59.734,294,32517390336000,110000
2025-04-24T14:16:05.176,1879,33225179136000,110000
2025-04-24T14:16:06.129,720,32749125632000,110000
2025-04-24T14:16:07.166,1350,33214693376000,110000
2025-04-24T14:16:07.756,316,33010221056000,110000
2025-04-24T14:16:09.176,1109,33587986432000,110000
2025-04-24T14:16:09.812,2143,33792458752000,110000
2025-04-24T14:16:10.741,1131,32948355072000,110000
2025-04-24T14:16:14.129,310,32652656640000,110000
2025-04-24T14:16:15.194,1131,32948355072000,110000
2025-04-24T14:16:15.749,251,32130465792000,110000
2025-04-24T14:16:20.791,1263,32974569472000,110000
2025-04-24T14:16:20.808,271,32725008384000,110000
2025-04-24T14:16:23.851,1263,32974569472000,110000
2025-04-24T14:16:24.766,377,32759611392000,110000
2025-04-24T14:16:25.171,1536,33235664896000,110000
2025-04-24T14:16:25.765,616,32701939712000,110000
2025-04-24T14:16:32.789,1314,32793165824000,110000
2025-04-24T14:16:34.786,331,32348569600000,110000
2025-04-24T14:16:34.803,1211,33166458880000,110000
2025-04-24T14:16:36.122,682,32936820736000,110000
2025-04-24T14:16:37.813,1568,33151778816000,110000
2025-04-24T14:16:38.784,258,32834060288000,110000
2025-04-24T14:16:42.868,1568,33151778816000,110000
2025-04-24T14:16:47.816,2488,33685504000000,110000
2025-04-24T14:16:53.840,3471,34130100224000,110000
2025-04-24T14:17:02.155,4000,34359738368000,110000
2025-04-24T14:17:03.838,4000,34359738368000,110000
